X,Y,STORENAME,ADDRESS,ZIPCODE,PHONE,WARD,SSL,NOTES,PRESENT90,PRESENT95,PRESENT00,PRESENT05,PRESENT08,PRESENT09,PRESENT10,PRESENT11,PRESENT12,PRESENT13,PRESENT14,PRESENT15,PRESENT16,PRESENT17,PRESENT18,GIS_ID,OBJECTID,XCOORD,YCOORD,MAR_ID,SE_ANNO_CAD_DATA,GLOBALID,CREATOR,CREATED,EDITOR,EDITED,PRESENT22,PRESENT23
-77.0269805790129,38.9844552988866,Target ,7828 GEORGIA AVENUE NW,20012,2028923822,Ward 4,2960    0017,,,,,,,,,,,,,,,,,GroceryStorePt_1,641,397662.57,146280.07,300512,,{CE302122-4E8D-4DC7-845B-06563B993F66},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0260657546085,38.9834637018227,International Progresso Market,7719 GEORGIA AVENUE NW,20012,2025455015,Ward 4,2961    0810,,,,,,,,,,,,,,,,,GroceryStorePt_2,642,397741.8,146169.97,285417,,{2C18863D-40DE-4F66-AA59-46F1C65D67F2},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0277982734047,38.9677712350042,Jocelyn’s Market ,6404 GEORGIA AVENUE NW,20012,2027227574,Ward 4,2945    0839,,,,,,,,,,,,,,,,,GroceryStorePt_3,643,397591.16,144428,285334,,{A0B448C3-B3FB-49FE-B8BF-1FEBA3CEA642},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0764593007974,38.9655532402862,Magruder's,5626 CONNECTICUT AVENUE NW,20015,2024644946,Ward 3,1860    0013, ,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_4,644,393373.92,144184.19,263860,,{9ABE1C46-BB48-4110-B5BA-C6363CA3BD7A},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0749096653148,38.9646007197834,Safeway,5545 CONNECTICUT AVENUE NW,20015,2022446097,Ward 3,1867    0092, ,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_5,645,393508.13,144078.34,263999,,{902F540E-FE16-43A5-8010-CD84E94B28B7},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0272851396928,38.962078321939,Walmart Supercenter,5929 GEORGIA AVENUE NW,20011,2027193770,Ward 4,2986    0039,Georgia Ave,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,GroceryStorePt_6,646,397635.44,143796.02,254296,,{A40991EF-B8F3-44B5-AE35-48BD1C814681},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0021444681289,38.9579766930922,Walmart Supercenter,310 RIGGS ROAD NE,20011,2027564418,Ward 4,3748    0052,Riggs Road,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,GroceryStorePt_7,647,399814.33,143340.35,311574,,{4BA6EDB6-4A42-4EBE-B792-63208B1427FE},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0213178876896,38.9566042517642,Tropimart International Foods,607 KENNEDY STREET NW,20011,2026272752,Ward 4,3207    0089,,,,,,,,,,,,,,,,,GroceryStorePt_8,648,398152.47,143188.21,246733,,{4FC86176-5DF9-44E1-B2C2-AFEA77046638},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,No
-77.0838608276822,38.9563029882965,Rodman’s ,5100 WISCONSIN AVENUE NW,20016,2023633466,Ward 3,1656    0009,,,,,,,,,,,,,,,,,GroceryStorePt_9,649,392731.53,143157.89,265883,,{572E410A-B3F5-4080-AD0F-CAE80BCBB60A},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
-77.0123007836538,38.9514161546653,Avenue Supermarket,5010 NEW HAMPSHIRE AVENUE NW,20011,2027261330,Ward 4,3403    0806,,,,,,,,,,,,,,,,,GroceryStorePt_10,650,398933.95,142612.14,306154,,{676068FB-DF0B-4A78-896F-774E4BFD51D0},JLAY,2022/09/28 18:04:54+00,GHATCHARD,2023/05/17 15:23:12+00,Yes,Yes
